fromferc,toferc,Max_Avg,Max_Max,Q0.999_Avg,Q0.999_Max
Alberta,NorthernGrid,270.0,270,254.0,254
British Colombia,NorthernGrid,2622.0,2622,2331.0,2331
CAISO,Mexico,605.0,605,585.0,585
CAISO,NorthernGrid,4442.0,4442,4291.0,4291
CAISO,WestConnect,2505.5,2819,2477.5,2787
ERCOT,Mexico,381.0,381,380.0,380
ERCOT,SPP,832.0,832,831.0,831
FRCC,SERC,1193.5,1194,1123.0,1126
ISONE,NYISO,1530.0,1543,1377.5,1387
ISONE,New Brunswick,812.0,812,593.0,593
ISONE,Quebec,970.0,970,965.0,965
MISO,Manitoba,1422.0,1422,1410.0,1410
MISO,Ontario,1136.0,1136,1136.0,1136
MISO,PJM,1862.0,2780,1848.0,2778
MISO,SERC,7041.5,7257,5557.5,5771
MISO,SPP,4893.0,4898,3950.0,3960
Manitoba,MISO,2827.0,2827,2665.0,2665
Mexico,CAISO,549.0,549,426.0,426
Mexico,ERCOT,391.0,391,382.0,382
NYISO,ISONE,1930.5,1937,1833.5,1835
NYISO,Ontario,806.0,806,738.0,738
NYISO,PJM,2277.5,3702,2027.5,3249
NYISO,Quebec,1101.0,1101,1097.0,1097
New Brunswick,ISONE,10270.0,10270,970.0,970
NorthernGrid,Alberta,315.0,315,298.0,298
NorthernGrid,British Colombia,2523.0,2523,2458.0,2458
NorthernGrid,CAISO,8657.0,8660,8142.0,8142
NorthernGrid,WestConnect,2154.0,2160,1862.0,1865
Ontario,MISO,1758.0,1758,1674.0,1674
Ontario,NYISO,1987.0,1987,1676.0,1676
PJM,MISO,15416.0,21968,12616.5,17432
PJM,NYISO,4700.5,5300,4237.5,4692
PJM,SERC,6926.0,8888,5674.5,7001
Quebec,ISONE,2213.0,2213,2208.0,2208
Quebec,NYISO,1805.0,1805,1799.0,1799
SCRTP,SERC,17465.5,33887,1019.0,1044
SERC,FRCC,3012.5,3020,2697.0,2701
SERC,MISO,18278.5,32864,3588.5,3645
SERC,PJM,7110.5,7472,5201.0,6069
SERC,SCRTP,2110.5,2111,1875.5,1876
SERC,SPP,787.0,804,673.5,689
SPP,ERCOT,825.5,836,825.0,835
SPP,MISO,3990.5,3996,2805.5,2815
SPP,SERC,1714.5,1743,1498.0,1509
SPP,Saskatchewan,392.0,392,96.0,96
SPP,WestConnect,1061.0,1061,957.0,958
Saskatchewan,SPP,177.0,177,169.0,169
WestConnect,CAISO,6971.0,7023,6456.5,6504
WestConnect,NorthernGrid,31010.0,59656,1899.0,1958
WestConnect,SPP,694.0,694,656.5,660
