fromferc,toferc,max,,fromferc,toferc,min,,fromferc,toferc,absmax
CAISO,CAISO,1114,,CAISO,CAISO,-1157,,CAISO,CAISO,1157
CAISO,Mexico,592,,CAISO,Mexico,-549,,CAISO,Mexico,592
CAISO,NorthernGrid,4442,,CAISO,NorthernGrid,-7159,,CAISO,NorthernGrid,7159
CAISO,WestConnect,2192,,CAISO,WestConnect,-6797,,CAISO,WestConnect,6797
ERCOT,Mexico,381,,ERCOT,Mexico,-391,,ERCOT,Mexico,391
ERCOT,SPP,832,,ERCOT,SPP,-815,,ERCOT,SPP,832
FRCC,FRCC,10501,,FRCC,FRCC,-5423,,FRCC,FRCC,10501
FRCC,SERC,883,,FRCC,SERC,-3005,,FRCC,SERC,3005
ISONE,NYISO,1518,,ISONE,NYISO,-1937,,ISONE,NYISO,1937
ISONE,New Brunswick,528,,ISONE,New Brunswick,-994,,ISONE,New Brunswick,994
ISONE,Quebec,970,,ISONE,Quebec,-2100,,ISONE,Quebec,2100
MISO,Manitoba,1326,,MISO,Manitoba,-2827,,MISO,Manitoba,2827
MISO,Ontario,1136,,MISO,Ontario,-1694,,MISO,Ontario,1694
MISO,PJM,944,,MISO,PJM,-8220,,MISO,PJM,8220
MISO,SERC,4649,,MISO,SERC,-1615,,MISO,SERC,4649
MISO,SPP,2578,,MISO,SPP,-2597,,MISO,SPP,2597
NYISO,ISONE,1924,,NYISO,ISONE,-1501,,NYISO,ISONE,1924
NYISO,Ontario,749,,NYISO,Ontario,-1987,,NYISO,Ontario,1987
NYISO,PJM,-128,,NYISO,PJM,-4101,,NYISO,PJM,4101
NYISO,Quebec,1101,,NYISO,Quebec,-1782,,NYISO,Quebec,1782
NorthernGrid,Alberta,306,,NorthernGrid,Alberta,-254,,NorthernGrid,Alberta,306
NorthernGrid,British Colombia,2523,,NorthernGrid,British Colombia,-2126,,NorthernGrid,British Colombia,2523
NorthernGrid,CAISO,7159,,NorthernGrid,CAISO,-4442,,NorthernGrid,CAISO,7159
NorthernGrid,NorthernGrid,6671,,NorthernGrid,NorthernGrid,-2200,,NorthernGrid,NorthernGrid,6671
NorthernGrid,WestConnect,1178,,NorthernGrid,WestConnect,-59656,,NorthernGrid,WestConnect,59656
PJM,MISO,16484,,PJM,MISO,-2647,,PJM,MISO,16484
PJM,NYISO,4435,,PJM,NYISO,-1630,,PJM,NYISO,4435
PJM,SERC,7152,,PJM,SERC,-6411,,PJM,SERC,7152
SCRTP,SCRTP,107,,SCRTP,SCRTP,-1329,,SCRTP,SCRTP,1329
SCRTP,SERC,353,,SCRTP,SERC,-1880,,SCRTP,SERC,1880
SERC,FRCC,3020,,SERC,FRCC,-887,,SERC,FRCC,3020
SERC,MISO,1509,,SERC,MISO,-4937,,SERC,MISO,4937
SERC,PJM,4824,,SERC,PJM,-3642,,SERC,PJM,4824
SERC,SCRTP,1881,,SERC,SCRTP,-991,,SERC,SCRTP,1881
SERC,SERC,527,,SERC,SERC,-644,,SERC,SERC,644
SERC,SPP,561,,SERC,SPP,-1612,,SERC,SPP,1612
SPP,ERCOT,835,,SPP,ERCOT,-832,,SPP,ERCOT,835
SPP,MISO,2604,,SPP,MISO,-2577,,SPP,MISO,2604
SPP,SERC,1669,,SPP,SERC,-585,,SPP,SERC,1669
SPP,SPP,300,,SPP,SPP,-260,,SPP,SPP,300
SPP,Saskatchewan,99,,SPP,Saskatchewan,-177,,SPP,Saskatchewan,177
SPP,WestConnect,1061,,SPP,WestConnect,-694,,SPP,WestConnect,1061
WestConnect,CAISO,6607,,WestConnect,CAISO,-2819,,WestConnect,CAISO,6607
WestConnect,NorthernGrid,2364,,WestConnect,NorthernGrid,-1463,,WestConnect,NorthernGrid,2364
WestConnect,SPP,694,,WestConnect,SPP,-1061,,WestConnect,SPP,1061
WestConnect,WestConnect,24686,,WestConnect,WestConnect,-2729,,WestConnect,WestConnect,24686
