fromferc,toferc,value
CAISO,CAISO,-1157
CAISO,Mexico,-549
CAISO,NorthernGrid,-7159
CAISO,WestConnect,-6797
ERCOT,Mexico,-391
ERCOT,SPP,-815
FRCC,FRCC,-5423
FRCC,SERC,-3005
ISONE,NYISO,-1937
ISONE,New Brunswick,-994
ISONE,Quebec,-2100
MISO,Manitoba,-2827
MISO,Ontario,-1694
MISO,PJM,-8220
MISO,SERC,-1615
MISO,SPP,-2597
NYISO,ISONE,-1501
NYISO,Ontario,-1987
NYISO,PJM,-4101
NYISO,Quebec,-1782
NorthernGrid,Alberta,-254
NorthernGrid,British Colombia,-2126
NorthernGrid,CAISO,-4442
NorthernGrid,NorthernGrid,-2200
NorthernGrid,WestConnect,-59656
PJM,MISO,-2647
PJM,NYISO,-1630
PJM,SERC,-6411
SCRTP,SCRTP,-1329
SCRTP,SERC,-1880
SERC,FRCC,-887
SERC,MISO,-4937
SERC,PJM,-3642
SERC,SCRTP,-991
SERC,SERC,-644
SERC,SPP,-1612
SPP,ERCOT,-832
SPP,MISO,-2577
SPP,SERC,-585
SPP,SPP,-260
SPP,Saskatchewan,-177
SPP,WestConnect,-694
WestConnect,CAISO,-2819
WestConnect,NorthernGrid,-1463
WestConnect,SPP,-1061
WestConnect,WestConnect,-2729
