fromferc,toferc,value
CAISO,CAISO,1157
CAISO,Mexico,592
CAISO,NorthernGrid,7159
CAISO,WestConnect,6797
ERCOT,Mexico,391
ERCOT,SPP,832
FRCC,FRCC,10501
FRCC,SERC,3005
ISONE,NYISO,1937
ISONE,New Brunswick,994
ISONE,Quebec,2100
MISO,Manitoba,2827
MISO,Ontario,1694
MISO,PJM,8220
MISO,SERC,4649
MISO,SPP,2597
NYISO,ISONE,1924
NYISO,Ontario,1987
NYISO,PJM,4101
NYISO,Quebec,1782
NorthernGrid,Alberta,306
NorthernGrid,British Colombia,2523
NorthernGrid,CAISO,7159
NorthernGrid,NorthernGrid,6671
NorthernGrid,WestConnect,59656
PJM,MISO,16484
PJM,NYISO,4435
PJM,SERC,7152
SCRTP,SCRTP,1329
SCRTP,SERC,1880
SERC,FRCC,3020
SERC,MISO,4937
SERC,PJM,4824
SERC,SCRTP,1881
SERC,SERC,644
SERC,SPP,1612
SPP,ERCOT,835
SPP,MISO,2604
SPP,SERC,1669
SPP,SPP,300
SPP,Saskatchewan,177
SPP,WestConnect,1061
WestConnect,CAISO,6607
WestConnect,NorthernGrid,2364
WestConnect,SPP,1061
WestConnect,WestConnect,24686
